#EXPORTTYPE:       ,DATA ALL                  
#FILE:             ,样品2.ngb-dla               
#FORMAT:           ,NETZSCH5                  
#FTYPE:            ,ANSI                      
#IDENTITY:         ,样品2                       
#DECIMAL:          ,POINT                     
#SEPARATOR:        ,COMMA                     
#MTYPE:            ,DIL                       
#INSTRUMENT:       ,NETZSCH DIL 402SE         
#PROJECT:          ,                          
#DATE/TIME:        ,2024/7/11 15:50:59 (UTC+8)
#CORR. FILE:       ,Al2O3-5-2.ngb-cla         
#TEMPCAL:          ,TCALZERO.TMX              
#LABORATORY:       ,                          
#OPERATOR:         ,                          
#REMARK:           ,                          
#SAMPLE:           ,样品2                       
#SAMPLE LENGTH /mm:,11.905                    
#MATERIAL:         ,                          
#MEASMODE:         ,Standard Expansion        
#PROTECTIVE MFC:   ,NITROGEN,250.0 ml/min     
#M.RANGE /μm:      ,20000                     
#CORR. CODE:       ,080                       
#RANGE:            ,25°C/5.0(K/min)/1360°C    
#SEGMENT:          ,S1/1                      
#SEG. 1:           ,25°C/5.0(K/min)/1360°C    

##Temp./°C,Time/min,dL/Lo
  30.44100,  0.00000, 6.044947e-05
  30.69100,  0.09149, 4.835002e-05
  30.94100,  0.20102, 3.579495e-05
  31.19100,  0.31468, 2.246950e-05
  31.44100,  0.44165, 7.703174e-06
  31.69100,  0.57796,-4.557554e-06
  31.94100,  0.72685,-1.645676e-05
  32.19100,  0.88491,-2.832644e-05
  32.44100,  1.05458,-3.846714e-05
  32.69100,  1.22913,-4.846327e-05
  32.94100,  1.40861,-5.391213e-05
  33.19100,  1.58914,-5.606007e-05
  33.44100,  1.76371,-5.824668e-05
  33.69100,  1.93026,-5.637657e-05
  33.94100,  2.08272,-5.218124e-05
  34.19100,  2.22335,-4.763317e-05
  34.44100,  2.35329,-4.215944e-05
  34.69100,  2.47519,-3.812836e-05
  34.94100,  2.59007,-3.449283e-05
  35.19100,  2.69808,-2.867233e-05
  35.44100,  2.80035,-2.954265e-05
  35.69100,  2.89795,-1.968953e-05
  35.94100,  2.99126,-1.502240e-05
  36.19100,  3.08045,-1.082428e-05
  36.44100,  3.16694,-6.346065e-06
  36.69100,  3.25096,-1.227624e-06
  36.94100,  3.33245, 4.412123e-06
  37.19100,  3.41154, 7.943912e-06
  37.44100,  3.48860, 1.263100e-05
  37.69100,  3.56339, 1.555582e-05
  37.94100,  3.63678, 2.289762e-05
  38.19100,  3.70805, 2.701082e-05
  38.44100,  3.77814, 3.084325e-05
  38.69100,  3.84640, 3.719567e-05
  38.94100,  3.91336, 3.919099e-05
  39.19100,  3.97944, 4.737636e-05
  39.44100,  4.04395, 4.896905e-05
  39.69100,  4.10740, 5.572603e-05
  39.94100,  4.16948, 5.765071e-05
  40.19100,  4.23108, 6.348627e-05
  40.44100,  4.29150, 6.812045e-05
  40.69100,  4.35098, 7.045813e-05
  40.94100,  4.40919, 7.470907e-05
  41.19100,  4.46658, 7.749813e-05
  41.44100,  4.52292, 8.200894e-05
  41.69100,  4.57870, 8.568235e-05
  41.94100,  4.63325, 8.771467e-05
  42.19100,  4.68744, 9.334859e-05
  42.44100,  4.74114, 9.616064e-05
  42.69100,  4.79393, 9.979259e-05
  42.94100,  4.84680, 1.021214e-04
  43.19100,  4.89887, 1.058471e-04
  43.44100,  4.95057, 1.090733e-04
  43.69100,  5.00180, 1.117622e-04
  43.94100,  5.05274, 1.156024e-04
  44.19100,  5.10313, 1.193238e-04
  44.44100,  5.15271, 1.213399e-04
  44.69100,  5.20207, 1.243697e-04
  44.94100,  5.25061, 1.286439e-04
  45.19100,  5.29898, 1.306793e-04
  45.44100,  5.34684, 1.352884e-04
  45.69100,  5.39425, 1.379946e-04
  45.94100,  5.44117, 1.417471e-04
  46.19100,  5.48789, 1.443895e-04
  46.44100,  5.53418, 1.467964e-04
  46.69100,  5.58029, 1.493273e-04
  46.94100,  5.62603, 1.525345e-04
  47.19100,  5.67155, 1.549597e-04
  47.44100,  5.71661, 1.576756e-04
  47.69100,  5.76140, 1.608344e-04
  47.94100,  5.80596, 1.635515e-04
  48.19100,  5.85027, 1.673249e-04
  48.44100,  5.89425, 1.688381e-04
  48.69100,  5.93801, 1.708491e-04
  48.94100,  5.98168, 1.747320e-04
  49.19100,  6.02482, 1.766166e-04
  49.44100,  6.06801, 1.786436e-04
  49.69100,  6.11102, 1.812334e-04
  49.94100,  6.15391, 1.843906e-04
  50.19100,  6.19644, 1.868228e-04
  50.44100,  6.23897, 1.882750e-04
  50.69100,  6.28139, 1.914110e-04
  50.94100,  6.32352, 1.927755e-04
  51.19100,  6.36542, 1.948757e-04
  51.44100,  6.40729, 1.968445e-04
  51.69100,  6.44910, 1.989365e-04
  51.94100,  6.49052, 2.015252e-04
  52.19100,  6.53206, 2.034526e-04
  52.44100,  6.57333, 2.047914e-04
  52.69100,  6.61455, 2.058474e-04
  52.94100,  6.65561, 2.077441e-04
  53.19100,  6.69632, 2.111422e-04
  53.44100,  6.73697, 2.124287e-04
  53.69100,  6.77751, 2.135716e-04
  53.94100,  6.81774, 2.146655e-04
  54.19100,  6.85812, 2.173406e-04
  54.44100,  6.89825, 2.187756e-04
  54.69100,  6.93807, 2.211288e-04
  54.94100,  6.97786, 2.218164e-04
  55.19100,  7.01774, 2.225550e-04
  55.44100,  7.05723, 2.237154e-04
  55.69100,  7.09679, 2.242982e-04
  55.94100,  7.13635, 2.276503e-04
  56.19100,  7.17579, 2.284675e-04
  56.44100,  7.21531, 2.289244e-04
  56.69100,  7.25474, 2.316155e-04
  56.94100,  7.29422, 2.319396e-04
  57.19100,  7.33352, 2.346124e-04
  57.44100,  7.37288, 2.354290e-04
  57.69100,  7.41198, 2.369967e-04
  57.94100,  7.45097, 2.384808e-04
  58.19100,  7.49014, 2.396941e-04
  58.44100,  7.52925, 2.401348e-04
  58.69100,  7.56853, 2.406450e-04
  58.94100,  7.60754, 2.424113e-04
  59.19100,  7.64641, 2.434930e-04
  59.44100,  7.68537, 2.455825e-04
  59.69100,  7.72419, 2.459989e-04
  59.94100,  7.76301, 2.473783e-04
  60.19100,  7.80182, 2.487840e-04
  60.44100,  7.84083, 2.495122e-04
  60.69100,  7.87963, 2.500755e-04
  60.94100,  7.91853, 2.502406e-04
  61.19100,  7.95724, 2.516657e-04
  61.44100,  7.99605, 2.516336e-04
  61.69100,  8.03497, 2.534484e-04
  61.94100,  8.07372, 2.537513e-04
  62.19100,  8.11250, 2.550801e-04
  62.44100,  8.15147, 2.542274e-04
  62.69100,  8.19036, 2.562140e-04
  62.94100,  8.22919, 2.566276e-04
  63.19100,  8.26801, 2.580573e-04
  63.44100,  8.30670, 2.566311e-04
  63.69100,  8.34533, 2.577178e-04
  63.94100,  8.38402, 2.578668e-04
  64.19100,  8.42290, 2.576826e-04
  64.44100,  8.46159, 2.588530e-04
  64.69100,  8.50044, 2.589426e-04
  64.94100,  8.53925, 2.609627e-04
  65.19100,  8.57792, 2.616959e-04
  65.44100,  8.61668, 2.611178e-04
  65.69100,  8.65568, 2.613360e-04
  65.94100,  8.69474, 2.620784e-04
  66.19100,  8.73392, 2.608189e-04
  66.44100,  8.77308, 2.631124e-04
  66.69100,  8.81228, 2.619041e-04
  66.94100,  8.85172, 2.609213e-04
  67.19100,  8.89086, 2.623035e-04
  67.44100,  8.92997, 2.623665e-04
  67.69100,  8.96918, 2.641241e-04
  67.94100,  9.00846, 2.628846e-04
  68.19100,  9.04792, 2.648091e-04
  68.44100,  9.08730, 2.647624e-04
  68.69100,  9.12685, 2.651017e-04
  68.94100,  9.16631, 2.648059e-04
  69.19100,  9.20585, 2.649322e-04
  69.44100,  9.24532, 2.634602e-04
  69.69100,  9.28493, 2.642090e-04
  69.94100,  9.32488, 2.643908e-04
  70.19100,  9.36483, 2.640903e-04
  70.44100,  9.40473, 2.638397e-04
  70.69100,  9.44471, 2.647583e-04
  70.94100,  9.48464, 2.647349e-04
  71.19100,  9.52467, 2.650428e-04
  71.44100,  9.56493, 2.650223e-04
  71.69100,  9.60517, 2.650451e-04
  71.94100,  9.64540, 2.657087e-04
  72.19100,  9.68595, 2.650486e-04
  72.44100,  9.72634, 2.644238e-04
  72.69100,  9.76692, 2.651083e-04
  72.94100,  9.80767, 2.642992e-04
  73.19100,  9.84861, 2.654152e-04
  73.44100,  9.88937, 2.654366e-04
  73.69100,  9.93041, 2.653666e-04
  73.94100,  9.97166, 2.649781e-04
  74.19100, 10.01297, 2.653213e-04
  74.44100, 10.05453, 2.644081e-04
  74.69100, 10.09589, 2.652483e-04
  74.94100, 10.13773, 2.641364e-04
  75.19100, 10.17935, 2.658477e-04
  75.44100, 10.22116, 2.650877e-04
  75.69100, 10.26299, 2.653682e-04
  75.94100, 10.30526, 2.639915e-04
  76.19100, 10.34732, 2.642863e-04
  76.44100, 10.38952, 2.642895e-04
  76.69100, 10.43194, 2.640884e-04
  76.94100, 10.47419, 2.634867e-04
  77.19100, 10.51670, 2.629549e-04
  77.44100, 10.55921, 2.625444e-04
  77.69100, 10.60208, 2.635911e-04
  77.94100, 10.64517, 2.620584e-04
  78.19100, 10.68818, 2.620537e-04
  78.44100, 10.73129, 2.617230e-04
  78.69100, 10.77439, 2.619399e-04
  78.94100, 10.81764, 2.617653e-04
  79.19100, 10.86116, 2.609504e-04
  79.44100, 10.90499, 2.609416e-04
  79.69100, 10.94894, 2.604845e-04
  79.94100, 10.99284, 2.602584e-04
  80.19100, 11.03685, 2.603063e-04
  80.44100, 11.08093, 2.599313e-04
  80.69100, 11.12523, 2.596808e-04
  80.94100, 11.16955, 2.592167e-04
  81.19100, 11.21388, 2.591429e-04
  81.44100, 11.25855, 2.575509e-04
  81.69100, 11.30312, 2.565733e-04
  81.94100, 11.34786, 2.572731e-04
  82.19100, 11.39294, 2.571081e-04
  82.44100, 11.43796, 2.563703e-04
  82.69100, 11.48306, 2.568438e-04
  82.94100, 11.52820, 2.583356e-04
  83.19100, 11.57369, 2.587831e-04
  83.44100, 11.61927, 2.571070e-04
  83.69100, 11.66490, 2.579037e-04
  83.94100, 11.71063, 2.566584e-04
  84.19100, 11.75661, 2.570838e-04
  84.44100, 11.80278, 2.546336e-04
  84.69100, 11.84899, 2.539020e-04
  84.94100, 11.89550, 2.550797e-04
  85.19100, 11.94221, 2.533029e-04
  85.44100, 11.98892, 2.551341e-04
  85.69100, 12.03576, 2.529366e-04
  85.94100, 12.08274, 2.516206e-04
  86.19100, 12.12976, 2.532797e-04
  86.44100, 12.17669, 2.520078e-04
  86.69100, 12.22362, 2.527007e-04
  86.94100, 12.27096, 2.518669e-04
  87.19100, 12.31819, 2.521046e-04
