#EXPORTTYPE:       ,DATA ALL                 
#FILE:             ,样品1.ngb-dla              
#FORMAT:           ,NETZSCH5                 
#FTYPE:            ,ANSI                     
#IDENTITY:         ,样品1                      
#DECIMAL:          ,POINT                    
#SEPARATOR:        ,COMMA                    
#MTYPE:            ,DIL                      
#INSTRUMENT:       ,NETZSCH DIL 402SE        
#PROJECT:          ,                         
#DATE/TIME:        ,2024/7/11 9:41:36 (UTC+8)
#CORR. FILE:       ,Al2O3-5-2.ngb-cla        
#TEMPCAL:          ,TCALZERO.TMX             
#LABORATORY:       ,                         
#OPERATOR:         ,                         
#REMARK:           ,                         
#SAMPLE:           ,样品1                      
#SAMPLE LENGTH /mm:,11.921                   
#MATERIAL:         ,                         
#MEASMODE:         ,Standard Expansion       
#PROTECTIVE MFC:   ,NITROGEN,250.0 ml/min    
#M.RANGE /μm:      ,20000                    
#CORR. CODE:       ,080                      
#RANGE:            ,25°C/5.0(K/min)/1360°C   
#SEGMENT:          ,S1/1                     
#SEG. 1:           ,25°C/5.0(K/min)/1360°C   

##Temp./°C,Time/min,dL/Lo
  25.11100,  0.00000, 3.785151e-05
  25.36100,  0.94001, 3.626921e-05
  25.61100,  1.21130, 3.668390e-05
  25.86100,  1.39592, 3.908223e-05
  26.11100,  1.54140, 3.999081e-05
  26.36100,  1.66533, 4.409101e-05
  26.61100,  1.77756, 4.662170e-05
  26.86100,  1.88090, 4.913668e-05
  27.11100,  1.97755, 5.241130e-05
  27.36100,  2.06877, 5.417237e-05
  27.61100,  2.15487, 5.613029e-05
  27.86100,  2.23798, 5.830582e-05
  28.11100,  2.31824, 6.094385e-05
  28.36100,  2.39524, 6.278998e-05
  28.61100,  2.46983, 6.647300e-05
  28.86100,  2.54241, 6.853989e-05
  29.11100,  2.61245, 6.954651e-05
  29.36100,  2.68031, 7.108297e-05
  29.61100,  2.74657, 7.306377e-05
  29.86100,  2.81084, 7.554011e-05
  30.11100,  2.87342, 7.873847e-05
  30.36100,  2.93432, 7.870066e-05
  30.61100,  2.99385, 8.181528e-05
  30.86100,  3.05209, 8.385429e-05
  31.11100,  3.10881, 8.478150e-05
  31.36100,  3.16469, 8.589565e-05
  31.61100,  3.21959, 9.013116e-05
  31.86100,  3.27349, 9.179393e-05
  32.11100,  3.32638, 9.342757e-05
  32.36100,  3.37824, 9.543680e-05
  32.61100,  3.42969, 9.625724e-05
  32.86100,  3.47996, 9.602848e-05
  33.11100,  3.52992, 1.002852e-04
  33.36100,  3.57853, 9.353521e-05
  33.61100,  3.62686, 9.551497e-05
  33.86100,  3.67406, 1.009345e-04
  34.11100,  3.72101, 9.678600e-05
  34.36100,  3.76739, 1.032669e-04
  34.61100,  3.81346, 1.060464e-04
  34.86100,  3.85877, 1.021705e-04
  35.11100,  3.90393, 1.096710e-04
  35.36100,  3.94843, 1.067421e-04
  35.61100,  3.99272, 1.097693e-04
  35.86100,  4.03635, 1.168129e-04
  36.11100,  4.08034, 1.059420e-04
  36.36100,  4.12366, 1.172679e-04
  36.61100,  4.16658, 1.193117e-04
  36.86100,  4.20909, 1.201894e-04
  37.11100,  4.25125, 1.224444e-04
  37.36100,  4.29320, 1.315497e-04
  37.61100,  4.33464, 1.345619e-04
  37.86100,  4.37599, 1.349759e-04
  38.11100,  4.41697, 1.354998e-04
  38.36100,  4.45788, 1.371382e-04
  38.61100,  4.49818, 1.313894e-04
  38.86100,  4.53844, 1.398711e-04
  39.11100,  4.57871, 1.421142e-04
  39.36100,  4.61857, 1.430967e-04
  39.61100,  4.65853, 1.447697e-04
  39.86100,  4.69806, 1.450219e-04
  40.11100,  4.73743, 1.496333e-04
  40.36100,  4.77669, 1.501724e-04
  40.61100,  4.81600, 1.528264e-04
  40.86100,  4.85481, 1.546280e-04
  41.11100,  4.89335, 1.564816e-04
  41.36100,  4.93173, 1.580839e-04
  41.61100,  4.96974, 1.602786e-04
  41.86100,  5.00760, 1.635758e-04
  42.11100,  5.04551, 1.647556e-04
  42.36100,  5.08295, 1.657389e-04
  42.61100,  5.12046, 1.661382e-04
  42.86100,  5.15794, 1.672783e-04
  43.11100,  5.19499, 1.677164e-04
  43.36100,  5.23200, 1.697376e-04
  43.61100,  5.26888, 1.707855e-04
  43.86100,  5.30576, 1.702719e-04
  44.11100,  5.34260, 1.719725e-04
  44.36100,  5.37935, 1.732524e-04
  44.61100,  5.41590, 1.733442e-04
  44.86100,  5.45235, 1.746586e-04
  45.11100,  5.48889, 1.755883e-04
